,제목,가수,앨범명
0,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
1,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
2,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
3,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
7,POP!,나연 (TWICE),IM NAYEON
8,우리들의 블루스,임영웅,IM HERO
9,TOMBOY,(여자)아이들,I NEVER DIE
10,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
11,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
12,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
13,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
14,나의 X에게,경서,나의 X에게
15,그라데이션,10CM,5.3
16,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
17,다시 만날 수 있을까,임영웅,IM HERO
18,Girls,aespa,Girls - The 2nd Mini Album
19,무지개,임영웅,IM HERO
20,Love story,볼빨간사춘기,Seoul
21,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
22,내가 아니라도,주호,내가 아니라도
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
25,아버지,임영웅,IM HERO
26,LOVE me,BE'O (비오),LOVE me
27,A bientot,임영웅,IM HERO
28,손이 참 곱던 그대,임영웅,IM HERO
29,사랑해 진짜,임영웅,IM HERO
30,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
31,인생찬가,임영웅,IM HERO
32,취중고백,김민석 (멜로망스),취중고백
33,잠수이별 (Prod. 코드 쿤스트),"우원재, meenoi (미노이)",잠수이별
34,연애편지,임영웅,IM HERO
35,ELEVEN,IVE (아이브),ELEVEN
36,사랑역,임영웅,IM HERO
37,보금자리,임영웅,IM HERO
38,사랑해요 그대를,임영웅,IM HERO
39,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
40,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
41,해요 (2022),#안녕,해요 (2022)
42,That's Hilarious,Charlie Puth,That's Hilarious
43,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
44,신호등,이무진,신호등
45,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Left and Right (Feat. Jung Kook of BTS)
46,Dynamite,방탄소년단,Dynamite (DayTime Version)
47,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
48,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
49,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
